,name,street_address,city,postcode,phone_number,job,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,score
42757,John Greene,90954 James Courts Suite 444,East Olivia,8185,(376)661-6537x9238,"Engineer, water",10,51.59,0,1,Surburban,1,Phone,Discount,0.978745618072404
44178,Olivia Lindsey,634 Adam Spurs,Vickieburgh,20564,024.287.3462,Accounting technician,3,154.4,0,1,Surburban,1,Phone,Buy One Get One,2.3650405004471557
24208,Brent Patterson,6068 Rodriguez Mountains Apt. 773,East Ethanborough,96403,160.116.6417,Copy,10,570.44,1,0,Surburban,1,Phone,No Offer,2.2431412629484635
43153,Sharon Evans,86005 Woods Plains Suite 425,Port Breanna,89161,001-639-086-9016x1399,Accommodation manager,8,256.89,0,1,Surburban,0,Web,Buy One Get One,1.1842187234172137
7747,Clayton Allen,51067 Emily Mills,New Daniel,71992,129-082-0665,Data scientist,4,43.07,1,0,Urban,1,Web,Buy One Get One,1.7866622925563778
39094,David Rice,931 Smith Falls,West Johnview,30776,741-652-4002,"Education officer, community",4,283.16,1,0,Surburban,1,Phone,Discount,1.0467854583946004
40084,Ronald Smith,293 Lopez Row Apt. 486,South Sherrystad,64267,797-460-1898x16444,"Social research officer, government",2,94.27,0,1,Urban,1,Web,Discount,0.5423505265092297
52928,Christine Garza,21764 Lopez Plains,Lake Adamside,50450,278.874.0564x97735,Teaching laboratory technician,7,461.81,0,1,Urban,0,Multichannel,No Offer,0.7245304656082481
16218,Mason Salazar,9200 Jones Meadow Apt. 980,New Johnfurt,99081,981-508-8311,"Designer, fashion/clothing",10,455.56,0,1,Surburban,1,Multichannel,Buy One Get One,1.2916080279792124
12506,Justin Anderson,5110 John Mission Suite 157,Simpsonhaven,91481,470-856-5917x70762,Pensions consultant,2,230.31,1,0,Urban,1,Phone,Discount,1.3140927583695383
55082,Michelle Monroe,924 Butler Radial,North Sarah,90686,909-280-5570,Event organiser,8,169.74,0,1,Urban,1,Web,Buy One Get One,0.8475551204526489
55173,Bridget Fields,6197 Buck Greens,Lake Brian,29894,+1-717-954-1313x89100,Solicitor,7,169.44,1,0,Rural,0,Phone,No Offer,1.1339142492198575
30684,Robert George,2524 Benjamin Court,South Brandon,42044,818.390.4147,"Lighting technician, broadcasting/film/video",1,190.25,0,1,Urban,0,Web,No Offer,1.2854703332600714
8542,Meagan Hunter,2634 Murray Loaf,Williamsshire,13166,755-514-1047x82251,Chief Financial Officer,1,204.29,1,1,Urban,0,Phone,Buy One Get One,1.2604246332687268
59683,Kelli Hudson,725 Michael Land Suite 511,Port Scott,31706,909-756-5038,Furniture conservator/restorer,5,91.29,0,1,Urban,0,Phone,Buy One Get One,1.0313826369320498
44891,Amy Huber,1577 Sally Meadow Apt. 080,New Keithtown,98581,745.317.5782x90882,Learning disability nurse,2,636.05,1,1,Surburban,1,Web,Discount,2.4299498955450094
48887,Robert Bray,03568 Wilson Passage,West Kenneth,11534,5010746650,Occupational hygienist,1,241.1,0,1,Urban,1,Web,Buy One Get One,0.8720357944804972
44548,Jesus Johnson,2251 Reynolds Shore Apt. 809,Reynoldsstad,55623,(721)554-4146x738,"Scientist, biomedical",10,260.48,1,1,Surburban,0,Multichannel,No Offer,0.6164955962951909
22229,Jason Turner,1514 Rogers Cliff Apt. 826,Torresborough,17992,001-804-391-5508x551,Personnel officer,9,41.24,0,1,Surburban,0,Phone,Discount,1.1032906658375423
8438,Kathleen Mitchell,5770 Morgan Stream,Colleenview,64921,580-244-9381,Housing manager/officer,9,33.06,1,0,Surburban,1,Phone,Discount,0.9496544101026048
224,Dwayne Morris,152 George Parkway,East James,64689,(862)036-4889x6752,Forensic psychologist,1,181.98,0,1,Urban,1,Web,Discount,0.4861579449543012
9574,Daniel Taylor,255 John Court,Port Joyceview,69309,355.789.7086,Geoscientist,7,29.99,1,0,Urban,1,Phone,Buy One Get One,2.3733642247084514
11215,Brenda Calhoun,699 Carrie Cape Suite 804,West Rebecca,18620,+1-077-176-4020x776,Podiatrist,12,53.79,0,1,Surburban,0,Phone,Discount,2.7017168272806837
49841,Michael Jones,302 Dougherty Hollow Apt. 266,Port William,6742,(955)362-7497,"Merchandiser, retail",12,113.93,1,0,Urban,1,Web,No Offer,0.6886946076320477
13256,Victoria Webster,7407 Joann Ford Suite 420,Lake Matthewberg,62398,4679657897,"Investment banker, operational",9,29.99,1,0,Urban,1,Phone,Discount,2.141069118452464
44902,Allen Drake,10098 Parker Oval,Melissamouth,72092,672-261-4910x0748,Advertising copywriter,6,320.34,0,1,Surburban,0,Phone,No Offer,2.017559733116589
35529,Whitney Ramos,495 Gomez Stravenue,Sanchezfort,17187,(586)598-9656x98803,Health promotion specialist,2,542.99,0,1,Surburban,1,Web,No Offer,1.2633221220366486
16248,Melanie Harrison,64799 Horne Spring Suite 990,Thomaschester,64162,001-525-485-2787x22190,Land/geomatics surveyor,2,233.7,1,0,Surburban,1,Web,Buy One Get One,1.081024317816743
16749,Jacob Mills,0251 Laura Forest,West Alec,56333,8182346605,Horticultural consultant,6,227.54,0,1,Urban,1,Web,Buy One Get One,0.9482777975016377
43687,Jennifer Holmes,58603 Ortiz Crest,West Jeffrey,99388,098-052-3248,Media buyer,11,314.38,1,1,Surburban,0,Web,Discount,1.6903964693398084
10971,Kevin Duncan,30237 Randall Cove,North Raymond,58131,645-047-8694,Clinical psychologist,8,509.23,1,0,Urban,1,Web,Buy One Get One,2.273731130675981
52838,Eric Knight,18802 Parker Field Apt. 997,Danielstad,34804,8192242343,Psychotherapist,1,41.95,1,0,Surburban,0,Web,No Offer,1.721968936935603
46980,Crystal Thomas,140 Michael Branch,South Warren,98689,+1-844-247-0129,Printmaker,4,123.0,1,0,Urban,0,Web,Buy One Get One,0.9818187906315804
43297,Tammy Huynh,320 Vanessa Ville Apt. 976,South Davidton,62631,(474)152-6782x372,Arts development officer,7,273.71,1,1,Surburban,0,Phone,Discount,0.8676964124766329
45208,Joseph Dougherty,270 Stephanie Crossing,Lake Garyburgh,41972,(845)200-5849x409,"Scientist, forensic",10,29.99,0,1,Surburban,0,Web,Discount,1.3899851584317608
44559,Christopher Perez,4844 Villegas Forges Apt. 813,West Janiceland,74101,5568788747,Advertising art director,9,153.47,0,1,Surburban,0,Phone,Buy One Get One,1.495723713033884
56339,Richard Welch,3215 Nielsen Park Apt. 011,Port Loriport,26157,+1-121-399-4031x646,"Engineer, structural",8,433.73,1,0,Urban,0,Multichannel,Buy One Get One,0.8529329599799719
48786,Thomas Kim,757 Smith Spring,Gardnerside,78705,420.758.0769x7993,"Programme researcher, broadcasting/film/video",7,378.36,0,1,Rural,0,Phone,Buy One Get One,1.6134680906737335
19934,Jason Valdez,345 Jackson Junction Apt. 944,Port Sarahville,99914,(178)998-5326,Environmental consultant,5,84.03,1,0,Urban,1,Phone,Discount,0.8054751875134001
46899,Steven Ortiz,4767 Moore Stravenue Apt. 732,Port Larryfort,31839,001-082-662-2902x48955,Mechanical engineer,5,47.83,0,1,Surburban,0,Web,Buy One Get One,1.1520777959609383
50792,James Douglas,35906 Contreras Fields Suite 471,Marksfort,80585,564-974-4021,Theatre stage manager,9,78.86,0,1,Urban,1,Web,Discount,1.4778944489004062
30816,Steven Boyer,18421 Bishop Locks,Glasshaven,5382,508-697-3041,"Teacher, English as a foreign language",3,29.99,1,0,Surburban,1,Phone,No Offer,2.277752161041767
50870,Christina Fisher,5236 Atkins Lake,Perezmouth,78345,432-095-9015,Futures trader,1,76.32,1,0,Urban,1,Web,Buy One Get One,1.2094342496977917
28949,Juan Green,2998 Matthew Summit,Dennisport,71423,(735)588-8595x3930,"Development worker, international aid",1,144.38,0,1,Rural,0,Web,No Offer,0.5373350560242112
8147,Tina Rubio,6292 Austin Roads Apt. 568,North Rachel,31019,+1-338-761-8430x8939,"Scientist, product/process development",1,342.97,1,0,Urban,0,Phone,Discount,1.2754057087952164
26560,Gerald Stevenson,81474 Dunlap Glen Apt. 570,Brittanyfort,67663,001-190-149-1844x87098,Geochemist,1,325.68,1,0,Rural,0,Multichannel,Buy One Get One,1.0923758991613766
42975,Beverly Shepherd,98488 Bethany Row Suite 987,Lake Deborahfort,94732,380-155-1715,"Scientist, audiological",9,559.35,1,1,Surburban,1,Web,No Offer,0.5008174398578482
15450,Anna Ball,864 Johnson Spur,Lisaport,10718,001-290-572-9753x65937,Software engineer,5,194.48,0,1,Surburban,1,Web,Buy One Get One,1.037107914485115
8131,Daniel Jones,30951 Lester Center Suite 969,Salasville,20011,6723178444,"Engineer, civil (contracting)",2,38.53,1,0,Urban,0,Phone,Discount,1.1236635637158954
44588,Justin Silva,9285 Hebert Isle,Brownfort,91854,(483)070-8259x3206,Secondary school teacher,1,132.88,1,0,Surburban,1,Web,Buy One Get One,-0.01909046049860508
46070,Jonathan Houston,34062 Alexandra Mission Suite 802,Port Melinda,94038,678.647.3835x705,"Production designer, theatre/television/film",9,29.99,1,0,Urban,1,Web,Buy One Get One,1.4092709577057034
30649,Diana Price,070 Taylor Islands Apt. 808,Port Deanna,65198,001-181-273-5630x76678,"Lecturer, further education",2,266.18,1,0,Urban,0,Web,Discount,2.4861593084060667
44476,Joseph Hammond,2891 Johnson Inlet Suite 163,Port Ann,14691,+1-330-951-0193x1417,Plant breeder/geneticist,11,193.72,1,0,Urban,1,Phone,No Offer,1.090680433328952
9312,Roger Martinez,383 Karen Valleys Suite 912,South Danieltown,90046,+1-854-465-8770x7364,"Accountant, chartered certified",7,217.55,1,0,Urban,1,Multichannel,Buy One Get One,2.5031051192481124
58078,Micheal Hayes,556 Andrea Street Apt. 006,Tiffanyberg,70124,+1-939-678-7481x56506,"Restaurant manager, fast food",12,135.65,1,0,Rural,0,Web,Buy One Get One,0.8502401880668877
9885,Daniel Phelps PhD,018 James Forges,Wutown,85621,049.515.6124x58065,Energy manager,2,154.93,1,0,Urban,0,Phone,No Offer,1.90423407074783
45580,Emily Sullivan,278 Lambert Ways Apt. 698,Laurieview,49129,762.235.8696,"Programmer, multimedia",1,143.67,0,1,Urban,0,Web,Buy One Get One,1.1367957291417972
18369,Matthew Marsh,520 Reid Cliff Apt. 171,New Marymouth,4239,851-653-4922x73079,Civil Service administrator,7,85.35,1,0,Rural,0,Web,No Offer,1.0168427870713144
14834,Dawn Coffey,43495 Ryan Harbor Apt. 531,West Christinabury,6349,+1-744-569-8528x933,"Nurse, learning disability",3,56.24,0,1,Rural,1,Phone,Discount,1.057378401865871
59992,Mary Gamble,83848 Smith Oval Suite 003,Tylerberg,21921,001-096-134-4346x7742,Public affairs consultant,1,605.38,1,1,Surburban,1,Multichannel,No Offer,1.1211875388175123
42618,Lauren Black,44300 Morales Common Apt. 374,Jessicaton,39366,870-729-2547,Advertising account planner,9,129.03,0,1,Urban,0,Web,No Offer,0.2280392423146911
16891,Christopher Elliott,837 Friedman Walk,Port Christopherbury,15467,(550)542-6171,Illustrator,4,68.76,1,0,Surburban,1,Phone,No Offer,1.7537039833954935
42932,Christopher Hansen,39753 Lisa Falls,South Jacquelinebury,56466,001-967-799-1789,"Designer, television/film set",11,29.99,1,0,Urban,1,Web,Buy One Get One,1.1054692632618663
40330,Marie Price,60082 Tran Fort,East Charlesstad,86139,+1-340-098-4627x4681,Chief Technology Officer,7,124.04,0,1,Urban,1,Phone,Buy One Get One,0.2142107387852703
55438,Tina Freeman,678 Maxwell Meadow,South Brianburgh,19611,+1-685-363-2029,Public affairs consultant,7,50.28,1,0,Surburban,1,Phone,No Offer,0.38001672130759134
993,Jennifer Smith,8109 James Meadows Apt. 559,North Kimberlyhaven,46617,+1-520-761-2626x01460,Pensions consultant,4,39.2,1,0,Urban,1,Web,Discount,0.8880190558288898
63247,Daniel Garrett,521 Matthew Causeway Apt. 636,Jessicashire,2565,981.175.3311,Chief of Staff,3,56.72,1,0,Urban,0,Web,Buy One Get One,0.2504644243863019
3321,Kevin Smith,47944 Brown Circles Apt. 525,Laurenport,66164,403.319.5961x0681,Event organiser,5,363.8,0,1,Surburban,0,Phone,Discount,1.3801526195861424
44462,Christian Mcbride,710 Stephens Islands,Hobbsfort,52863,320.707.1515x33378,Engineering geologist,9,73.47,0,1,Urban,0,Web,No Offer,0.5045249182794466
38642,Deborah Lee,4374 Jeffrey Mount,Dennisberg,30372,001-676-756-5218x4518,Theatre manager,5,68.25,1,0,Surburban,1,Web,Buy One Get One,1.2759347341869218
49555,Andrew Cooper,70027 Waters Dale Suite 161,Mcmahonport,42886,+1-391-725-0039x976,"Buyer, industrial",5,72.07,1,0,Urban,0,Phone,Buy One Get One,1.2685563670034297
26766,Mark Medina,1931 Baker Lodge Suite 431,North Derrickshire,66331,057.688.5201x288,"Editor, commissioning",11,106.45,1,0,Urban,0,Web,No Offer,0.8361751950646467
18547,Jennifer Collins,0882 Kimberly Brooks Apt. 707,Lake Kenneth,25236,+1-746-530-4367x378,Ambulance person,4,210.55,1,0,Surburban,0,Web,No Offer,0.757793110204232
3525,Rachel Patel,7452 Tina Shoals,Lake Jodifort,94772,196.480.2872,Furniture designer,1,103.95,1,0,Urban,0,Phone,Discount,0.6495668138010233
58652,Lauren Wilson,22288 Brandon Heights Apt. 417,North Jonathanstad,58927,(718)662-0981x85354,Secondary school teacher,1,154.85,1,0,Urban,0,Phone,No Offer,1.8244924451824855
50247,David Meyers,568 Payne Prairie Apt. 152,Justinhaven,75598,458.021.1727x1414,Hotel manager,2,306.35,1,0,Surburban,0,Multichannel,Discount,0.8126683182917155
58533,James Friedman,942 Young Junction,Ericksonmouth,60247,+1-578-894-8068,Marketing executive,10,199.81,1,0,Surburban,1,Phone,Discount,1.4209545310160383
51167,Stephanie Burgess,3403 Joseph Light Apt. 939,New Jeremy,18728,(169)204-5836x7620,Technical author,5,335.84,1,1,Surburban,0,Web,Buy One Get One,1.3697008036985698
38882,Mark Martinez,367 Macdonald Orchard Suite 856,South Evanville,99454,+1-591-029-5015,Best boy,9,325.63,0,1,Urban,0,Phone,Discount,0.6538727707899428
1134,Alexis Nunez,14779 Amy Bridge,Davisville,73388,001-620-152-7737x18374,"Designer, exhibition/display",2,369.12,1,0,Surburban,1,Web,Buy One Get One,1.5821036374441382
40148,Michael Ingram,1118 Angelica Lodge Apt. 027,Port Nathanton,60124,+1-303-816-2706x0359,Training and development officer,7,141.65,0,1,Surburban,0,Phone,Buy One Get One,1.7225356707637418
32738,Cynthia Pham,69240 Woodard Spur,East Gregory,56275,001-555-990-6893x4951,Careers adviser,9,374.59,1,0,Surburban,0,Phone,No Offer,0.5293765363641778
26391,Natalie Smith,854 Gary Ville Apt. 787,Lake Derek,67882,+1-821-809-6007x0058,Outdoor activities/education manager,6,185.96,0,1,Urban,0,Web,Buy One Get One,1.5406460538667042
14187,Kevin Dalton,279 Hernandez Squares,Timothyberg,45433,(693)124-0404x6216,"Engineer, manufacturing systems",2,51.42,1,0,Urban,1,Web,No Offer,1.4112689594914676
5569,David Gilmore,67511 Barry Plains Apt. 880,New Frank,85494,001-173-990-0971x827,Early years teacher,2,128.79,0,1,Urban,0,Phone,No Offer,1.036516785575889
49279,Christopher Whitaker Jr.,21569 Roberts Corners Apt. 986,East Meganstad,19006,(923)084-1388x20488,Quality manager,7,185.6,0,1,Surburban,1,Phone,No Offer,0.6648643693390135
28710,Lindsey Meyer,6597 Brown Inlet,Port Thomas,62592,+1-594-073-4953x83698,"Conservation officer, nature",10,143.57,1,0,Surburban,0,Web,Discount,1.2614371865805694
37982,Stephanie Fisher,75096 Goodman Drives,East Hailey,38649,340-601-9439,Computer games developer,3,29.99,0,1,Surburban,0,Phone,Buy One Get One,0.23645631137384396
47575,Carolyn Bowers,29636 Lane Mountain,Hillhaven,25400,001-253-835-0258,"Therapist, art",2,126.91,0,1,Surburban,1,Web,Discount,0.9126343746696648
38143,Andrea Miller,24188 David Wall,Port Tiffany,72224,001-125-314-0292x9215,Theatre stage manager,11,29.99,0,1,Urban,1,Web,Discount,0.8855578636684802
31695,Guy Bonilla,9606 Brown Mountains Suite 843,West Tinaland,62823,(014)829-8346,Sales promotion account executive,4,84.87,0,1,Urban,1,Web,Discount,1.033698177605385
18837,Valerie Hicks,17908 Conrad Shoal,West Ambermouth,43223,+1-065-151-8787x1588,"Scientist, marine",10,81.64,0,1,Surburban,0,Web,Discount,0.5279423168471123
20054,Gregory Sanchez,3040 Daniels Shore,North Ashleystad,85347,+1-399-441-6455x11218,Public house manager,2,40.64,0,1,Surburban,0,Web,Buy One Get One,0.9638854850988979
25693,Melinda Collins,63856 Mccormick Turnpike,Lake Brian,31408,826-894-9607,Technical sales engineer,10,29.99,1,0,Urban,0,Phone,Discount,0.7419722090650518
52863,Crystal Lane,328 Kent Station Apt. 801,Port Andrewhaven,58760,0633417678,"Editor, film/video",3,149.02,0,1,Urban,0,Phone,Buy One Get One,1.5518697038612617
37196,Ashley Odom,90405 Hernandez Street Suite 461,Petertown,12382,869-631-1242,Dramatherapist,1,695.85,0,1,Urban,1,Multichannel,Buy One Get One,0.8344476287542577
35125,Brenda Baker,647 Cameron Freeway Apt. 439,Jeremyberg,83801,(839)304-7976x207,"Psychologist, forensic",7,354.92,0,1,Rural,1,Web,Buy One Get One,0.5992970521004986
2990,Kevin Boyd,4349 Jim Valley Suite 241,Lake Markville,70489,+1-151-805-0319x25582,"Research officer, government",1,814.48,1,1,Rural,1,Phone,Discount,2.5875574233259044
58595,Bryan Johnston,984 Lane Rapid,Armstronghaven,11876,092.708.6952x307,Special effects artist,9,193.67,1,0,Urban,0,Web,No Offer,1.784195869718681
7835,Erica Brown,27601 Rice Trail,South Reginald,78336,800.922.9054x94706,Hospital pharmacist,5,298.67,1,1,Rural,1,Phone,Buy One Get One,1.3571541003189502
348,Dean Rodgers,13808 Hull Ramp Apt. 894,West William,97246,+1-753-804-6700x022,Secretary/administrator,7,60.02,1,0,Surburban,1,Phone,Discount,1.0132988345751042
6682,Shawn Maldonado,3880 Joel Trafficway,Jacksonburgh,7418,(739)266-4540,"Journalist, magazine",8,50.68,0,1,Urban,1,Web,Discount,1.5515370567224895
53764,Emily Carrillo,9651 Hart Terrace,Lake Sandrafort,26194,+1-904-849-5877x96007,Immigration officer,4,44.92,0,1,Surburban,0,Phone,No Offer,1.8509484181870424
23232,Kristen Russell,282 Elizabeth Glens Apt. 123,Moralesland,90596,479.124.8558,Radiation protection practitioner,10,48.83,0,1,Surburban,1,Phone,No Offer,1.1663570001769512
51045,Stephanie Sellers,380 Christopher Neck Suite 972,North Jorgeton,68163,(173)152-1321x40784,Actuary,4,67.1,1,0,Surburban,0,Phone,No Offer,1.6159035582692771
26631,Janet Pena,412 Jose Streets Suite 176,West Madison,71521,001-202-579-0210x8915,Diplomatic Services operational officer,1,616.59,0,1,Surburban,1,Web,Discount,0.5748927516335702
48282,Ralph Jones,16384 Austin Freeway Suite 493,Jefferyland,63028,1569138431,Radiation protection practitioner,10,46.58,1,0,Surburban,1,Web,Buy One Get One,1.1029665649933411
50688,Jaime Dickerson,5071 James Streets,South Katrinaland,87314,399.645.1103x78723,Recruitment consultant,12,558.46,0,1,Urban,1,Phone,No Offer,1.2359991796452965
54063,Nicholas Wilson,088 Becker Mews,Brandonmouth,56133,(663)517-2455,Land,6,29.99,1,0,Urban,0,Phone,No Offer,0.8563730034788367
53676,Stuart Stafford,9283 Bailey Isle Apt. 341,Tabithachester,47325,109.227.6706x65840,Therapeutic radiographer,3,58.04,1,0,Urban,1,Web,Buy One Get One,1.2266805970092538
11373,Brandon Rosario,979 Pamela Valleys Apt. 998,Bradyshire,73973,+1-976-788-4154x778,"Clinical scientist, histocompatibility and immunogenetics",4,288.65,1,0,Rural,0,Phone,Discount,1.384535166217359
55465,Edward Wells,224 Smith Row Suite 926,Port Emily,98088,866-688-7072x9365,Higher education lecturer,4,158.04,1,0,Surburban,1,Phone,No Offer,1.5245781927879969
15416,Kathryn Gardner,326 Bethany Flat Apt. 424,Lisaburgh,64026,478-487-8631x389,Commercial art gallery manager,7,273.41,1,0,Urban,1,Web,Discount,1.2127862848801596
63016,Jeffrey Wilson,1184 Schwartz Grove Apt. 275,Port Codyport,93827,892.077.4822,Higher education careers adviser,7,358.95,1,1,Surburban,0,Phone,Discount,0.9497360503595932
38187,Timothy Golden,25289 Michael Square Apt. 505,Rickyview,93409,4515850052,Advertising copywriter,10,85.02,1,0,Urban,0,Phone,No Offer,0.9767705076874102
50299,Cody Spencer,743 Todd Canyon,Port Josephstad,10833,+1-790-002-0440,"Administrator, local government",9,45.88,1,0,Surburban,0,Web,No Offer,1.1035676936658645
12892,Tonya Garcia,7792 Davis Walk,Parkerberg,45082,635-831-5358x7758,Lawyer,10,358.96,0,1,Surburban,0,Multichannel,Discount,1.4170113469252177
4036,Eileen Boone,55832 Melissa Mews Apt. 314,Lopezside,74213,874-788-9913x55989,Chief Financial Officer,3,718.05,1,0,Urban,1,Web,No Offer,1.3852777345512728
61136,Dennis Romero,4199 Russell Fords Suite 979,South Angelamouth,29419,993.603.0534x7048,Forensic psychologist,2,29.99,1,0,Surburban,1,Phone,Discount,0.7771013081672947
45057,Amy Hoffman,919 Nguyen Expressway,Jonesfurt,62548,222-332-0366x5216,Illustrator,1,421.14,1,0,Surburban,0,Web,Buy One Get One,2.2058384135272098
26783,Michael Frey,371 Livingston Mission,Port Jim,60807,(569)108-4327,Armed forces logistics/support/administrative officer,3,36.04,0,1,Surburban,0,Web,Discount,0.9609783857769032
30323,Daniel Foster,9531 Cameron Crossroad,East Christytown,47858,415-961-8967x99699,Recycling officer,4,52.55,1,0,Urban,1,Web,Discount,1.4505756078359855
9074,Jill Mata,427 Travis Drives,East Christianmouth,12249,001-435-884-0534,"Psychologist, educational",9,29.99,1,0,Surburban,1,Web,Discount,1.7407466450536402
47125,Nicholas Fisher,830 Mckinney Plains,Gonzalezland,64009,+1-984-490-1459x5674,Toxicologist,3,339.53,1,0,Rural,0,Web,No Offer,0.9864999688361592
11611,Susan Martin,418 Taylor Road,South Lisa,2018,001-098-861-6575,Medical sales representative,3,685.08,1,1,Urban,1,Web,Discount,1.0912303756587256
29729,Melissa Murphy,149 Travis Inlet,Joshuaview,67897,5818385794,"Surveyor, rural practice",12,145.3,1,0,Urban,1,Web,Buy One Get One,1.2675867914443513
22349,Susan Bradley,464 Jones Inlet Apt. 081,Powellburgh,2898,742.413.9792x3768,"Engineer, mining",2,245.36,0,1,Urban,1,Phone,No Offer,0.6929856218367156
32395,Sandra Barker,72180 Walter Prairie Suite 909,Parsonsfurt,13956,503.807.0341,Systems analyst,1,1090.42,0,1,Surburban,1,Multichannel,No Offer,0.7306317512188832
2452,Laura Foster,0791 Johnson River,Roseborough,35015,244-692-3777,Dealer,6,98.47,1,0,Urban,1,Phone,No Offer,1.3783566421618072
6698,Cheryl Adams,79396 Hannah Wells,Lauramouth,93269,(242)865-8180x777,Personal assistant,9,76.48,0,1,Surburban,0,Phone,Buy One Get One,0.7374504826384138
61538,Paul Aguirre,55954 Reeves Light Apt. 719,Pachecoton,78554,263-811-3060,"Programmer, multimedia",3,215.41,0,1,Rural,0,Multichannel,Discount,1.880957831139185
44472,James Cox,5140 Gutierrez Ridge Suite 219,North Donald,14339,630-025-8231,Automotive engineer,10,46.85,1,0,Urban,0,Phone,Buy One Get One,0.16244425964993114
47404,William Johnson,722 Kelsey Island,West Bonnie,98663,(706)692-2369,IT technical support officer,2,29.99,1,0,Surburban,0,Web,Buy One Get One,0.5988357487622109
11669,Jessica Lewis,797 Kelley Ridges,Lake Amanda,36792,962-106-5935,Tourism officer,10,225.08,0,1,Surburban,0,Phone,No Offer,0.5085593443197756
14562,Joanna Trevino,1996 Terry Greens Suite 448,Port Josephborough,90824,735.306.6662x752,Nutritional therapist,6,161.37,1,0,Surburban,0,Phone,Discount,1.2051142312711307
427,Thomas Rivers,9522 Diaz Station,West Lee,41412,122-818-0709,Regulatory affairs officer,1,276.21,1,0,Surburban,0,Phone,No Offer,1.0423789626199416
38166,Nicholas Buck,7794 Julie Canyon,Williamsburgh,29752,461-261-8408,"Surveyor, mining",5,30.35,1,0,Urban,0,Web,Discount,1.1974893426804882
13479,Valerie Baker,1279 Coleman Point Suite 766,Michaelberg,60117,+1-220-843-0799,Television production assistant,7,58.55,1,0,Surburban,1,Phone,Buy One Get One,-0.22071482603567996
57590,John Davis,9676 Rebecca Land Suite 659,Karenhaven,13369,001-328-256-0690x47051,Dramatherapist,2,273.79,0,1,Surburban,0,Web,Discount,1.0378169490164737
50037,Jennifer Garrett,698 Rangel Canyon,Michellebury,46964,+1-212-249-6195x3971,Warehouse manager,1,94.26,0,1,Urban,0,Web,Discount,2.016405554891856
9206,Darrell Foster,0030 Paul Square Suite 350,Jonesville,12610,001-079-138-5742x1658,"Engineer, manufacturing",9,288.68,0,1,Urban,1,Multichannel,No Offer,1.071803032652898
4429,Jeremy King,530 Ross Fall Apt. 235,West Robertstad,11850,+1-469-325-0999,Microbiologist,1,312.72,0,1,Urban,0,Web,Buy One Get One,1.9738782371001184
12727,Matthew Rose,778 Haley Estates,Millsshire,62327,(596)104-2742,Geochemist,5,678.83,1,1,Surburban,1,Multichannel,Buy One Get One,1.9556532332377428
52894,Ryan Bowers,3981 Robbins Ways Suite 484,Kevintown,84381,(663)959-7546,Engineering geologist,3,35.09,0,1,Urban,1,Phone,No Offer,0.9492154075150916
54948,Shawn Mason,87730 Mary Parkways Apt. 392,Clarkburgh,68437,(135)082-9083x492,Chiropodist,9,162.94,0,1,Urban,1,Web,Discount,1.0841946004196734
9766,Emily Green,730 Flores Light,Lake Pamela,92053,783.752.7754x618,Research scientist (life sciences),2,1057.46,1,1,Surburban,1,Multichannel,No Offer,1.2964298707047892
18884,Leslie Mcintosh,610 Robert Trace Apt. 797,New Kathryn,76727,147.590.9018,Commercial horticulturist,2,124.73,0,1,Rural,0,Web,Buy One Get One,2.0463179960606013
31892,Amanda Ray,33297 Brandon Union Suite 284,Ericaton,7537,753.643.9185x035,Race relations officer,4,986.7,1,1,Urban,1,Multichannel,Discount,1.0423706134695432
17804,Jesse Wells,0092 Kristen Radial,East Meagan,5324,845.911.3460,Tourism officer,11,29.99,1,0,Urban,1,Phone,Buy One Get One,0.8704772369567535
9327,Shelly Flores,058 John Manor,New Sherry,65013,+1-942-295-3201x86733,Air cabin crew,6,168.17,0,1,Surburban,1,Phone,Buy One Get One,0.8237999849948423
62831,Scott Bowers Jr.,746 Linda Neck Apt. 560,Matatown,72580,(656)162-8061,"Secretary, company",8,322.72,0,1,Rural,0,Web,Discount,1.5298056070062094
28845,Rodney Vega,7144 Donald Forest,South Dylanshire,90556,575.449.4027x342,Health and safety inspector,6,786.79,1,0,Surburban,1,Multichannel,Discount,0.8611471923827488
35683,Mrs. Michelle Brown,214 Timothy Islands,East Caroline,54274,001-604-550-7505x224,Accommodation manager,1,699.47,1,0,Surburban,1,Multichannel,Buy One Get One,1.0369607140838124
6635,Justin Howard,989 Cox Way,East Jennifer,95840,+1-152-513-6491x4362,"Scientist, marine",2,147.0,0,1,Rural,1,Phone,Buy One Get One,0.9583685845017932
34723,Colleen Ramirez,6246 April Ranch Suite 509,North Michealchester,45121,7493285997,Financial adviser,6,67.35,0,1,Surburban,0,Web,No Offer,0.507401852995286
61206,Tammy Lane DDS,122 Davis Falls,Amyport,34367,7338926329,Magazine journalist,2,93.79,1,0,Urban,0,Phone,Discount,0.5217920217400582
52261,Summer Harmon,92012 Dana Passage Suite 862,New Stephen,28563,001-203-264-6512x54018,Race relations officer,1,470.18,1,1,Urban,0,Multichannel,Discount,1.3076725567210945
23299,Ray Allison,91886 Hernandez Springs Suite 133,West Michael,1873,(146)852-4260,Intelligence analyst,10,317.63,1,0,Surburban,0,Web,Discount,1.9089492958456755
